hanzi	pinyin	pos	hsk30	translation
常用	chángyòng		2	часто употребляемый, обычно используемый
车辆	chēliàng	N	2	транспортные средства; машины
成	chéng	V/M	2	стать, превратиться; получиться; успех
出国	chūguó		2	выезжать за границу, уезжать из страны
出门	chūmén		2	выйти из дома; не быть на месте
出院	chūyuàn		2	выписываться из больницы
出租	chūzū	V	2	сдавать в аренду
春节	Chūnjié	N	2	Праздник весны, китайский Новый год
春天	chūntiān	N	2	весна; весенний; весной
词	cí	N	2	слово; слово, выступление, речь
从小	cóngxiǎo	Adv	2	с детства, с малолетства
大部分	dàbùfen	N	2	большая часть; большинство
大大	dàdà	Adv	2	сильно, значительно; намного
大多数	dàduōshù	N	2	подавляющее большинство
大海	dàhǎi	N	2	море, океан
大量	dàliàng	Adj	2	большое количество; много
大门	dàmén	N	2	большие ворота
大人	dàren	N	2	взрослый, совершеннолетний; старшие
大声	dàshēng		2	громко, во весь голос
大小	dàxiǎo	N	2	величина, размер; большой и маленький
大衣	dàyī	N	2	пальто
大自然	dàzìrán	N	2	природа
带来	dàilái		2	нести с собой, приносить
但	dàn	Conj	2	однако, но
蛋	dàn	N	2	яйцо
道	dào	M	2	сч. слово для рек, вопросов, блюд; дорога; путь
道路	dàolù	N	2	дорога, путь; дорожный, путевой
得出	déchū		2	получить, извлечь; прийти
的话	dehuà	Aux	2	если…, то (условие)
等到	děngdào	Prep	2	ждать до; к тому времени; когда; к, на
地铁站	dìtiězhàn	N	2	станция метро
店	diàn	N	2	магазин; лавка; гостиница
东北	dōngběi	N	2	северо-восток; северо-восточный
东方	dōngfāng	N	2	восток; Восток
东南	dōngnán	N	2	юго-восток
冬天	dōngtiān	N	2	зима
懂得	dǒngde	V	2	понимать, знать толк, разбираться
动物园	dòngwùyuán	N	2	зоологический сад, зоосад, зоопарк
读音	dúyīn	N	2	чтение, произношение
度	dù	N/M	2	градус; степень; мера
队	duì	N	2	группа; команда; бригада; строй, шеренга
队长	duìzhǎng	N	2	капитан команды; командир отряда
多久	duōjiǔ	Pron	2	как давно?; сколько времени назад?
多数	duōshù	N	2	большинство; большое количество; больший
多云	duōyún	N	2	облачно; облачный
方便面	fāngbiànmiàn	N	2	лапша быстрого приготовления
放下	fàngxia		2	опускать, спускать; складывать; положить
分开	fēnkāi		2	делить, разделять; разграничивать
分数	fēnshù	N	2	балл, отметка
封	fēng	M/V	2	сч. слово для писем; запечатывать
服务	fúwù	V	2	служить, нести службу; служение, служба
该	gāi	V	2	следует, должно; этот, данный
改	gǎi	V	2	изменять; исправлять
感到	gǎndào	V	2	почувствовать, ощутить, испытать
