hanzi	pinyin	pos	hsk30	translation
暑假	shǔjià	N	4	летние каникулы; летний отпуск
树林	shùlín	N	4	лес; роща
树叶	shùyè	N	4	листва; лист
刷牙	shuāyá		4	чистить зубы
刷子	shuāzi	N	4	щётка
帅哥	shuàigē	N	4	красавчик, красавец, симпатичный парень
率先	shuàixiān	Adv	4	прежде всего, в первую голову
睡着	shuìzháo		4	заснуть; спать
松	sōng	Adj/V	4	расслаблять; рыхлый; свободный; сосна
松树	sōngshù	N	4	сосна
塑料	sùliào	N	4	пластмасса, пластик
酸奶	suānnǎi	N	4	йогурт; айран, кефир
孙女	sūnnǚ	N	4	внучка
台上	táishàng	N	4	на сцене
套餐	tàocān	N	4	комплексный обед
特价	tèjià	N	4	специальная стоимость, сниженная цена
体操	tǐcāo	N	4	гимнастика, физическое упражнение
体检	tǐjiǎn	V	4	медосмотр; медицинское обследование
体重	tǐzhòng	N	4	вес, масса тела
替	tì	V/Prep	4	вместо, за; заменять
替代	tìdài	V	4	заменять, замещать; замена, альтернатива
填	tián	V	4	заполнять, наполнять; заделывать
挑	tiāo / tiǎo	V	4	выбирать; нести на коромысле; придираться
挑选	tiāoxuǎn	V	4	выбирать, избирать, отбирать; отбор
贴	tiē	V	4	приклеить; наклеить; заклеить
停下	tíngxia		4	останавливаться, остановиться
通知书	tōngzhīshū	N	4	извещение, уведомление в письменной форме
童年	tóngnián	N	4	детство
投	tóu	V	4	бросать; вкладывать; голосовать
投入	tóurù	V/N	4	вкладывать; включаться; вложения
投诉	tóusù	V	4	жалоба; жаловаться, подавать жалобу
透	tòu	V/Adj	4	проникать; насквозь; полностью
途中	túzhōng	N	4	в пути, на пути, по дороге
外汇	wàihuì	N	4	иностранная валюта
外交官	wàijiāoguān	N	4	дипломат; дипломатический представитель
外套	wàitào	N	4	пальто; куртка; верхняя одежда
晚点	wǎndiǎn		4	опаздывать (о транспорте); опоздание
王	wáng	N	4	король; князь; царь
网址	wǎngzhǐ	N	4	адрес сайта; URL
微信	wēixìn	N	4	WeChat (мессенджер Вичат)
味儿	wèir	N	4	вкус; привкус; запах; налёт; оттенок
稳	wěn	Adj	4	устойчивый; надёжный; спокойный
无法	wúfǎ	V	4	нет возможности, невозможно; нет выхода
无所谓	wúsuǒwèi	V	4	несущественно; не имеет значения
无限	wúxiàn	Adj	4	неограниченный, беспредельный, безграничный
五颜六色	wǔyánliùsè		4	разноцветный; всех цветов радуги
吸	xī	V	4	вдыхать, втягивать; затягиваться, курить
吸管	xīguǎn	N	4	трубка; соломинка, коктейльная трубочка
吸烟	xīyān	V	4	курить, курение
喜爱	xǐài	V	4	любить; нравиться; предпочтение
细	xì	Adj	4	тонкий; мелкий; тщательный
下个月	xiàgeyuè		4	следующий месяц; в следующем месяце
下降	xiàjiàng	V	4	спускаться, опускаться; падать
下楼	xiàlóu		4	спуститься, сойти по лестнице
夏季	xiàjì	N	4	летний сезон; лето
鲜	xiān	Adj	4	свежий; яркий; вкусный
鲜花	xiānhuā	N	4	цветы, свежесрезанные цветы
箱	xiāng	M	4	ящик; чемодан; сч. слово для ящиков
箱子	xiāngzi	N	4	ящик, сундук, чемодан, контейнер
相片	xiàngpiàn	N	4	фотография, фотокарточка
小型	xiǎoxíng	Adj	4	маленький, малый, малого размера
新型	xīnxíng	Adj	4	нового типа; новая модель
型	xíng	N	4	тип; модель; форма
型号	xínghào	N	4	модель; марка; артикул
胸部	xiōngbù	N	4	грудь; грудная клетка
学分	xuéfēn	N	4	зачётная единица; кредит (в вузе)
学年	xuénián	N	4	учебный год, академический год
学时	xuéshí	N	4	академический час, учебный час
牙	yá	N	4	зуб
牙刷	yáshuā	N	4	зубная щётка
亚运会	Yàyùnhuì	N	4	Азиатские игры, Азиада
严	yán	Adj	4	строгий; суровый; серьёзный
研究	yánjiū	V	4	исследовать, изучать; исследование
研制	yánzhì	V	4	разработать, разрабатывать и производить
眼泪	yǎnlèi	N	4	слёзы
眼里	yǎnli	N	4	в глазах; на взгляд
药物	yàowù	N	4	лекарственное вещество
医疗	yīliáo	V	4	лечить; лечение; лечебный; медицина
医学	yīxué	N	4	медицина
移	yí	V	4	перемещать; двигать; менять
以内	yǐnèi	N	4	в пределах; внутри; не более
一般来说	yībānláishuō		4	вообще говоря ..., в сущности ..., в общем
引	yǐn	V	4	вести; привлекать; цитировать
引进	yǐnjìn	V	4	вводить, внедрять
应	yīng / yìng	V	4	следует; отвечать; соглашаться
赢得	yíngdé	V	4	выиграть, получить, добиться
优良	yōuliáng	Adj	4	отличный, лучший, превосходный, оптимальный
有劲儿	yǒujìnr		4	сильный; энергичный; интересно
有限	yǒuxiàn	Adj	4	ограниченный
语音	yǔyīn	N	4	произношение; голосовое (сообщение); фонетика
玉	yù	N	4	нефрит; яшма
预测	yùcè	V	4	предполагать, делать предположения
遇	yù	V	4	встречаться, съезжаться, сходиться
遇见	yùjiàn	V	4	встречать; встречаться с
月底	yuèdǐ	N	4	конец месяца, последние дни месяца
运动会	yùndònghuì	N	4	спортивные состязания, спартакиада, олимпиада
运动员	yùndòngyuán	N	4	спортсмен
在于	zàiyú	V	4	заключаться в; состоять в; зависеть от
赞赏	zànshǎng	V	4	восхищаться, восторгаться, восхвалять
战胜	zhànshèng	V	4	побеждать, преодолевать
战士	zhànshì	N	4	боец; воин; солдат
招呼	zhāohu	V	4	звать; окликать; приветствовать
着火	zháohuǒ		4	загореться
针	zhēn	N	4	иголка; игла; булавка; шпилька; спица
之后	zhīhòu	N	4	после; после того, как; спустя; через
之间	zhījiān	N	4	в промежутке между..., среди..., меж
之前	zhīqián	N	4	перед этим, до этого, прежде, раньше, ранее
之一	zhīyī	N	4	один из
治	zhì	V	4	лечить; управлять; наводить порядок
种类	zhǒnglèi	N	4	разновидность, род, порода
中奖	zhòngjiǎng		4	выиграть в лотерею
种植	zhòngzhí	V	4	сеять, засевать; сажать; выращивать
转动	zhuǎndòng / zhuàndòng	V	4	вращать, вертеть; доворот
转身	zhuǎnshēn		4	поворачиваться кругом; поворот кругом
转弯	zhuǎnwān		4	поворачиваться, разворачиваться
装修	zhuāngxiū	V	4	отделывать; отделка, ремонт
装置	zhuāngzhì	V/N	4	устройство; установка; монтировать
自	zì	Prep	4	от, с (начиная с); сам
嘴巴	zuǐba	N	4	рот
作出	zuòchū		4	сделать; принять (решение); произвести
做梦	zuòmèng		4	видеть во сне; видеть сон; мечтать
岸上	ànshang		5	на берегу, береговой, прибрежный
拔	bá	V	5	вытаскивать, выдёргивать, вытягивать
白酒	báijiǔ	N	5	байцзю (китайская водка)
版	bǎn	N	5	издание; версия; полоса (газеты)
报警	bàojǐng		5	вызвать полицию; поднять тревогу
背包	bēibāo	N	5	вещевой мешок; ранец; рюкзак
悲剧	bēijù	N	5	трагедия, драма
悲伤	bēishāng	Adj	5	грустный; скорбный; горевать
辈	bèi	N	5	поколение; сч. слово для поколений
必	bì	Adv	5	обязательно; непременно
闭幕	bìmù		5	закрываться (о мероприятии); закрытие
闭幕式	bìmùshì	N	5	церемония закрытия
变动	biàndòng	V	5	изменяться; изменение; перемена; смена
饼	bǐng	N	5	лепёшка, пирожок, блин; печенье, галета
博客	bókè	N	5	блог, онлайновый дневник
不利	bùlì	Adj	5	невыгодный, неблагоприятный
不幸	bùxìng	Adj	5	несчастный; к несчастью; несчастье; беда
不易	bùyì	Adj	5	нелегко; трудно
不曾	bùcéng	Adv	5	никогда не; ещё не
不良	bùliáng	Adj	5	нехороший, дурной
不能不	bùnéngbù		5	невозможно не; не может не; нельзя не
不停	bùtíng		5	непрерывно, непрестанно, без остановки
不许	bùxǔ	V	5	не разрешать, запрещать, не допускать
猜测	cāicè	V	5	предугадывать, предполагать
餐馆	cānguǎn	N	5	ресторан
餐饮	cānyǐn	N	5	еда и питье; общественное питание
草原	cǎoyuán	N	5	степь; луга
叉	chā	V	5	вилка; крестик; вилы
查询	cháxún	V	5	запрос; запрашивать, наводить справки
差点儿	chàdiǎnr	Adv	5	чуть не; едва не
差一点儿	chàyīdiǎnr	Adv	5	чуть не; едва не
拆除	chāichú	V	5	разбирать; демонтировать; сносить
长度	chángdù	N	5	длина, протяжённость
长寿	chángshòu	Adj	5	долголетие; долгожитель
肠	cháng	N	5	кишки; внутренности; кишечник; нутро
厂长	chǎngzhǎng	N	5	директор завода
车主	chēzhǔ	N	5	владелец автомобиля, автовладелец
城里	chénglǐ	N	5	в городе
乘车	chéngchē		5	ехать на машине (автобусе); садиться в транспорт
乘客	chéngkè	N	5	пассажир
迟	chí	Adj	5	поздний; опаздывать
愁	chóu	V	5	печалиться; тревожиться
出汗	chūhàn		5	потеть
出于	chūyú	V	5	проистекать из, возникать из, исходить из
初期	chūqī	N	5	начальный период, начальная фаза; начало
处罚	chǔfá	V/N	5	налагать взыскание, подвергать наказанию
处在	chǔzài	V	5	находиться в..., пребывать в
辞典	cídiǎn	N	5	словарь
此后	cǐhòu	N	5	после этого, впоследствии
此刻	cǐkè	N	5	в данную минуту, сейчас
此时	cǐshí	N	5	при этом, в это время; в настоящее время
从中	cóngzhōng	Adv	5	из этого; при этом; посредничая
脆	cuì	Adj	5	хрустящий; хрупкий
存款	cúnkuǎn	N	5	вклад; сбережения; класть на счёт
寸	cùn	M	5	цунь (3,3 см); крошечный
答	dá	V	5	отвечать, давать ответ
大胆	dàdǎn	Adj	5	смелый; смело, отважно; смелость, отвага
大都	dàdū	Adv	5	большей частью; в основном
大纲	dàgāng	N	5	программа (курса); общий план
大奖赛	dàjiǎngsài	N	5	гран-при
大脑	dànǎo	N	5	головной мозг
大事	dàshì	N	5	важное дело; событие
大厅	dàtīng	N	5	зал; холл; вестибюль
大熊猫	dàxióngmāo	N	5	большая панда, бамбуковый медведь
大于	dàyú	V	5	больше чем
待	dāi	V	5	оставаться, находиться; ждать; обращаться с
带有	dàiyǒu		5	иметь; быть снабжённым
单一	dānyī	Adj	5	единственный; единый
胆	dǎn	N	5	смелость; жёлчный пузырь
胆小	dǎnxiǎo	Adj	5	трусливый, робкий; трусость, робость
当年	dāngnián	N	5	в те годы; в том же году
到来	dàolái	V	5	прибыть; приезд, прибытие
倒是	dàoshì	Adv	5	впрочем; наоборот; всё же
得了	déle	V	5	хватит!; ладно; готово
得以	déyǐ	V	5	получить возможность
低于	dīyú		5	меньше чем, менее
地带	dìdài	N	5	зона; пояс; полоса
地形	dìxíng	N	5	рельеф местности; местность, ландшафт
递给	dìgěi		5	вручать, передавать, подавать
点燃	diǎnrán	V	5	зажигать; поджигать
电饭锅	diànfànguō	N	5	электрическая рисоварка
电子版	diànzǐbǎn	N	5	электронное издание; электронная версия
豆制品	dòuzhìpǐn	N	5	соевые изделия, бобовые изделия
毒	dú	N/V/Adj	5	яд; наркотик; ядовитый; жестокий
躲	duǒ	V	5	прятаться, скрываться; уклоняться от
儿女	érnǚ	N	5	сыновья и дочери; дети
二维码	èrwéimǎ	N	5	QR-код
罚	fá	V	5	штрафовать, налагать штраф
法规	fǎguī	N	5	законы и правила; нормативный акт
法制	fǎzhì	N	5	законодательство; система законов
返回	fǎnhuí	V	5	возвращаться, вернуться
分成	fēnchéng		5	делиться на; дифференцироваться
分类	fēnlèi		5	классифицировать, систематизировать
分离	fēnlí	V	5	делить, отделять, сепарировать
分享	fēnxiǎng	V	5	делиться (с кем-л.); поделиться
疯	fēng	Adj	5	сумасшедший; сойти с ума
负责人	fùzérén	N	5	ответственное лицо, ответственный сотрудник
钢笔	gāngbǐ	N	5	ручка, перьевая ручка; стило
钢琴	gāngqín	N	5	пианино, рояль, фортепиано
高大	gāodà	Adj	5	высокий и большой; рослый
高度	gāodù	N/Adj	5	высота; высокий (уровень); в высшей степени
高跟鞋	gāogēnxié	N	5	туфли на высоком каблуке
高温	gāowēn	N	5	высокая температура
高于	gāoyú	V	5	быть выше, превышать
高原	gāoyuán	N	5	плоскогорье, нагорье, плато; высокогорье
搞好	gǎohǎo		5	хорошо сделать
歌曲	gēqǔ	N	5	песня
个儿	gèr	N	5	рост; размер; штука
更换	gēnghuàn	V	5	заменять; менять
工艺	gōngyì	N	5	технология; ремесло; мастерство
工作日	gōngzuòrì	N	5	рабочий день, трудовой день, будний день
共享	gòngxiǎng	V	5	совместно пользоваться; шеринг
沟	gōu	N	5	канава; ров; овраг
鼓	gǔ	N/V	5	барабан; хлопать (в ладоши); воодушевлять
光线	guāngxiàn	N	5	свет; луч; освещение
广	guǎng	Adj	5	широкий, обширный
鬼	guǐ	N	5	призрак; чёрт; хитрый
柜子	guìzi	N	5	шкаф; комод
国民	guómín	N	5	граждане; народ; национальный
害	hài	N/V	5	вред; вредить; страдать от
好运	hǎoyùn	N	5	удача, счастье, везение
盒	hé	N/M	5	коробка, коробок, шкатулка, ларец, футляр
盒饭	héfàn	N	5	еда в коробке, фастфуд, бэнто
贺卡	hèkǎ	N	5	поздравительная открытка
猴	hóu	N	5	обезьяна
胡同儿	hútòngr	N	5	переулок, улица, проезд, хутун
胡子	húzi	N	5	борода; усы
虎	hǔ	N	5	тигр
华语	Huáyǔ	N	5	китайский язык (за пределами КНР)
滑	huá	Adj/V	5	скользкий; скользить; кататься (на лыжах)
画面	huàmiàn	N	5	изображение, кадр, проекция
慌	huāng	Adj	5	паниковать; растерянный; нервничать
灰色	huīsè	N/Adj	5	серый цвет; серый
回头	huítóu	Adv	5	оборачиваться; потом, попозже
回信	huíxìn	N	5	ответное письмо; ответить на письмо
汇款	huìkuǎn		5	денежный перевод; переводить деньги
会谈	huìtán	V/N	5	переговоры; беседа
火腿	huǒtuǐ	N	5	ветчина; окорок
火灾	huǒzāi	N	5	пожар
或是	huòshì	Conj	5	или; либо
机器人	jīqìrén	N	5	робот
机制	jīzhì	N	5	механизм
挤	jǐ	V/Adj	5	тесниться; давить; выжимать; тесный
加热	jiārè		5	нагревать, подогревать
加上	jiāshàng	Conj	5	прибавить; к тому же; плюс
加速	jiāsù	V	5	ускорять; ускорение; разгон; ускоренный
加以	jiāyǐ	V/Conj	5	подвергать (обработке); применять; к тому же
夹	jiā	V	5	зажимать; папка; прослойка
价	jià	N	5	цена; стоимость
驾照	jiàzhào	N	5	водительские права
肩	jiān	N	5	плечо; буртик
减轻	jiǎnqīng	V	5	облегчить, смягчить; уменьшить; ослабить
剪	jiǎn	V	5	резать, обрезать, отрезать
剪子	jiǎnzi	N	5	ножницы
建造	jiànzào	V	5	строить, сооружать
键	jiàn	N	5	клавиша; кнопка
将	jiāng	Adv/Prep	5	в будущем; вот-вот; частица (как 把)
将要	jiāngyào	Adv	5	в будущем; вот-вот
胶带	jiāodài	N	5	скотч, клейкая лента; лента резины
脚步	jiǎobù	N	5	шаг, шаги; походка, поступь
戒	jiè	V	5	бросить (курить); остерегаться; кольцо
今日	jīnrì	N	5	сегодняшний день; сегодня
紧紧	jǐnjǐn		5	вплотную, плотно, неуклонно, крепко-накрепко
尽可能	jìnkěnéng		5	как только можно, насколько возможно
景象	jǐngxiàng	N	5	картина; вид; зрелище
酒鬼	jiǔguǐ	N	5	запойный пьяница, пропойца, алкоголик
救灾	jiùzāi		5	помощь пострадавшим от бедствия
局长	júzhǎng	N	5	начальник управления (бюро)
决不	juébù		5	ни в коем случае, никак не...
军人	jūnrén	N	5	военнослужащий, военный
开幕	kāimù		5	открываться (о мероприятии); открытие
看成	kànchéng		5	считать за..., рассматривать как
看出	kànchū		5	разглядеть, рассмотреть, заметить
烤肉	kǎoròu	N	5	жареное мясо; шашлык; жаркое; барбекю
靠近	kàojìn	V	5	приблизиться; вблизи, рядом, около
咳	ké	V	5	кашлять
可	kě	Adv/Conj	5	но, однако; можно; очень (усиление)
客气	kèqi	Adj/V	5	вежливый; церемониться; стесняться
空中	kōngzhōng	N	5	в воздухе; в пустоте; воздушный; аэро
口号	kǒuhào	N	5	лозунг, призыв, девиз, слоган
库	kù	N	5	склад, хранилище; склад оружия, арсенал
宽度	kuāndù	N	5	ширина
狂	kuáng	Adj	5	бешеный; взбесившийся
亏	kuī	V	5	нести убытки; к счастью (亏了); обидеть
困扰	kùnrǎo	V	5	мучить, беспокоить, тревожить, досаждать
来信	láixìn	N	5	входящее письмо, полученное письмо
礼	lǐ	N	5	этикет; подарок; церемония
礼拜	lǐbài	N/V	5	неделя; воскресенье; богослужение
立	lì	V	5	стоять; ставить; учреждать; немедленно
连接	liánjiē	V	5	соединять; подключать; связывать
脸盆	liǎnpén	N	5	таз для умывания
脸色	liǎnsè	N	5	цвет лица; выражение лица
两岸	liǎngàn	N	5	оба берега (пролива); материк и Тайвань
铃声	língshēng	N	5	звонок; рингтон
领带	lǐngdài	N	5	галстук
令	lìng	V	5	приказ; заставлять, вызывать (чувство)
流动	liúdòng	V	5	течь; перемещаться; текучий
漏洞	lòudòng	N	5	лазейка; пробел; дыра
买卖	mǎimai	N	5	торговля; бизнес; сделка
毛笔	máobǐ	N	5	писчая кисть
冒	mào	V	5	выпускать (пар, дым); рисковать; выдавать себя за
煤	méi	N	5	уголь; каменный уголь; сажа, копоть
煤气	méiqì	N	5	газ; светильный газ; газовый
明亮	míngliàng	Adj	5	светлый, яркий, ясный
摩托	mótuō	N	5	мотоцикл; мотор
男性	nánxìng	N	5	мужской пол; мужская природа; мужчина
南北	nánběi	N	5	Юг и Север
南极	nánjí	N	5	Южный полюс; Октант
难以	nányǐ	V	5	трудно, невозможно
脑子	nǎozi	N	5	мозг; голова; память; способности
年前	niánqián	N	5	лет назад; до ... года
农产品	nóngchǎnpǐn	N	5	сельскохозяйственная продукция
女性	nǚxìng	N	5	женский пол; женщина; женский
暖	nuǎn	Adj/V	5	тёплый; тепло
偶像	ǒuxiàng	N	5	кумир; идол; айдол
拍摄	pāishè	V	5	снимать; фотографировать; съемка
旁	páng	N/Pron	5	сторона; бок; рядом
赔	péi	V	5	возмещать; терпеть убыток
喷	pēn	V	5	брызгать; распылять; фонтанировать
骗子	piànzi	N	5	мошенник, обманщик, плут, жулик, шулер
拼	pīn	V	5	собирать (из частей); складывать; биться изо всех сил
品	pǐn	V/Suffix	5	товар, изделие; пробовать (на вкус); сорт
葡萄酒	pútaojiǔ	N	5	виноградное вино
其	qí	Pron	5	его; их; этот; тот
启动	qǐdòng	V	5	запускать (двигатель, программу); стартовать
起到	qǐdào		5	играть (роль); оказывать (действие)
气体	qìtǐ	N	5	газ
签	qiān	V	5	подписывать; надписывать
签名	qiānmíng		5	подписать, расписаться, поставить подпись
签约	qiānyuē		5	подписать договор
强度	qiángdù	N	5	напряжённость, прочность, интенсивность
墙壁	qiángbì	N	5	стена
敲门	qiāomén		5	стучать в дверь
琴	qín	N	5	музыкальный инструмент (钢琴, 小提琴); цитра
全都	quándōu	Adv	5	полностью, совершенно, всё в целом
全世界	quánshìjiè		5	весь мир; всемирный
泉	quán	N	5	источник, родник, ключ; фонтан
群体	qúntǐ	N	5	группа; сообщество; коллектив
热量	rèliàng	N	5	калории; количество теплоты
人力	rénlì	N	5	рабочая сила; людские ресурсы
忍	rěn	V	5	стерпеть, выносить; сдерживать
认	rèn	V	5	узнавать; признавать; считать
如此	rúcǐ	Pron	5	такой; таков; подобный этому
如同	rútóng	V	5	словно, подобно, как
如下	rúxià	V	5	как следует ниже; следующий
入门	rùmén		5	основы; введение (для начинающих); войти в дверь
杀毒	shādú		5	удалить вирус; антивирусный
山区	shānqū	N	5	гористый район, горная местность; горный
扇	shān / shàn	V/M/N	5	веер; сч. слово для дверей, окон; обмахивать
上下	shàngxià	N	5	верх и низ; около, примерно; вверх и вниз
上涨	shàngzhǎng	V	5	подниматься, повышаться, возрастать, расти
稍	shāo	Adv	5	немного, несколько; чуть-чуть, слегка
舍得	shěde	V	5	не жалеть (отдать); быть готовым расстаться
社	shè	N	5	общество; агентство; издательство (报社, 旅行社)
射	shè	V	5	стрелять; излучать; бросать (мяч)
摄像	shèxiàng	V	5	снимать видео; видеосъёмка
摄像机	shèxiàngjī	N	5	видеокамера
摄影师	shèyǐngshī	N	5	фотограф; кинооператор
深处	shēnchù	N	5	глубь, глубина; глубинный, глубокий
深度	shēndù	N	5	глубина; глубокий, углублённый
神	shén	N	5	бог; дух; волшебный; выражение (лица)
升高	shēnggāo		5	повышаться; подниматься
生成	shēngchéng	V	5	образовываться; генерировать; формирование
声	shēng	N/M	5	звук; голос; сч. слово для звуков
剩下	shèngxia		5	оставаться; быть в остатке; оставшийся
诗歌	shīgē	N	5	стихи, поэзия; поэтический
使得	shǐde	V	5	дать возможность; привести к тому, что
式	shì	N	5	тип; форма; стиль; формула; церемония
视频	shìpín	N	5	видео, видеоролик, клип
视为	shìwéi		5	считать за..., рассматривать как..., смотреть
收购	shōugòu	V	5	скупать; закупать; поглощение (компании)
收集	shōují	V	5	собирать; подбирать; коллекционировать
手段	shǒuduàn	N	5	средство, мера; метод, приём, манёвр
寿司	shòusī	N	5	суши
受灾	shòuzāi		5	пострадать от стихийных бедствий
书柜	shūguì	N	5	книжный шкаф
书桌	shūzhuō	N	5	стол для занятий; письменный стол; бюро
输出	shūchū	V	5	выводить; экспорт; выход (данных)
鼠	shǔ	N	5	мышь; крыса
摔倒	shuāidǎo		5	упасть; повалить
双手	shuāngshǒu		5	две руки, обе руки; обеими руками
水产品	shuǐchǎnpǐn	N	5	продукты водного промысла
水分	shuǐfèn	N	5	влага; влажность; приукрашивание
水库	shuǐkù	N	5	водохранилище, водоём
水灾	shuǐzāi	N	5	наводнение, потоп
睡眠	shuìmián	N	5	сон
说法	shuōfǎ	N	5	формулировка; версия; мнение
四周	sìzhōu	N	5	вокруг, кругом, со всех сторон
搜	sōu	V	5	искать; обыскивать
酸甜苦辣	suāntiánkǔlà		5	все вкусы жизни; радости и горести
随后	suíhòu	Adv	5	после чего; вслед за тем
损害	sǔnhài	V	5	испортить, повредить, причинить ущерб
所在	suǒzài	N	5	местонахождение
抬头	táitóu		5	поднять голову; воспрянуть
逃跑	táopǎo	V	5	бежать; обратиться в бегство; убежать
逃走	táozǒu	V	5	бежать, обратиться в бегство
桃花	táohuā	N	5	цветы персика
桃树	táoshù	N	5	персик, персиковое дерево
特性	tèxìng	N	5	особенность, свойство, характерная черта
特有	tèyǒu	Adj	5	характерный, специфический, присущий
提起	tíqǐ	V	5	упоминать; поднимать (вопрос); подхватить
体力	tǐlì	N	5	физическая сила; энергия, запас сил
厅	tīng	N	5	зал; холл; департамент
停留	tíngliú	V	5	задерживаться, оставаться, останавливаться
偷	tōu	V/Adv	5	воровать; тайком
偷偷	tōutōu	Adv	5	тайком; украдкой; незаметно; втихомолку
兔	tù	N	5	заяц; кролик
团长	tuánzhǎng	N	5	руководитель группы (делегации); командир полка
推行	tuīxíng	V	5	вводить в действие; проводить в жизнь
完了	wánle	Conj	5	закончиться; всё пропало!; закончив
微博	wēibó	N	5	микроблог, микроблоггинг
为止	wéizhǐ	V	5	до (какого-то момента); вплоть до
为主	wéizhǔ	V	5	быть главным; в основном; преимущественно
违法	wéifǎ		5	нарушить закон
违规	wéiguī		5	нарушать правила; нарушение
握	wò	V	5	держать (в руке); пожимать (руку)
污水	wūshuǐ	N	5	сточные воды; грязная вода; помои
屋	wū	N	5	дом; комната
无疑	wúyí	V	5	несомненно; бесспорно
舞	wǔ	N/V	5	танец; танцевать
物价	wùjià	N	5	цены (на товары)
物业	wùyè	N	5	управляющая компания (ЖКХ); недвижимость
西装	xīzhuāng	N	5	костюм (европейский)
喜剧	xǐjù	N	5	комедия
戏	xì	N	5	пьеса; спектакль; театр; играть
先后	xiānhòu	N/Adv	5	сначала и потом; последовательно; один за другим
闲	xián	Adj	5	свободный, незанятый; праздный
显	xiǎn	V	5	проявляться; выглядеть; очевидный
现有	xiànyǒu		5	существующий; имеющийся, наличествующий
献	xiàn	V	5	преподносить; посвящать; жертвовать
乡	xiāng	N	5	деревня; волость; родные места
乡村	xiāngcūn	N	5	деревня; сельский посёлок
香肠	xiāngcháng	N	5	сосиска; колбаса
向前	xiàngqián		5	вперед, прямо, перед собой
向上	xiàngshàng	V	5	вверх, наверх
相声	xiàngsheng	N	5	сяншэн (комический диалог)
消费者	xiāofèizhě	N	5	потребитель
小偷儿	xiǎotōur	N	5	вор, воришка, карманник
协议书	xiéyìshū	N	5	соглашение
信箱	xìnxiāng	N	5	почтовый ящик
行驶	xíngshǐ	V	5	ехать; двигаться (о транспорте)
熊	xióng	N	5	медведь
修养	xiūyǎng	N	5	воспитанность; культура (личная); самосовершенствование
选修	xuǎnxiū	V	5	изучать факультативно; курс по выбору
学科	xuékē	N	5	учебная дисциплина; отрасль науки
学者	xuézhě	N	5	учёный
寻求	xúnqiú	V	5	искать, изыскивать
鸭子	yāzi	N	5	утка
言语	yányǔ	N	5	речь, язык; речи, слова
研究所	yánjiūsuǒ	N	5	исследовательский институт
摇头	yáotóu		5	качать головой
也好	yěhǎo	Aux	5	тоже неплохо; …ли, …ли (всё равно)
夜间	yèjiān	N	5	ночь, ночное время
依法	yīfǎ	Adv	5	согласно законам, на основании законов
依照	yīzhào	V/Prep	5	согласно, по, в соответствии
一带	yīdài	N	5	район; окрестности
一句话	yījùhuà		5	одним словом; одна фраза
一下子	yīxiàzi	Adv	5	сразу; вдруг; разом
一口气	yīkǒuqì	Adv	5	на одном дыхании; за один присест
一身	yīshēn	N	5	всё тело; с ног до головы; комплект (одежды)
用不着	yòngbuzháo	V	5	нет нужды, незачем, ни к чему, не нужен
用来	yònglái		5	использовать для; служить для
用于	yòngyú		5	применяться в; использоваться для
由此	yóucǐ		5	отсюда; из этого; поэтому
游泳池	yóuyǒngchí	N	5	плавательный бассейн
有毒	yǒudú		5	ядовитый, токсический; отравляющий
有害	yǒuhài		5	вредный, вредоносный; вредить
有力	yǒulì	Adj	5	сильный, мощный; энергичный; крепкий
有利于	yǒulìyú		5	на благо, в интересах
有着	yǒuzhe	V	5	иметь; обладать
雨水	yǔshuǐ	N	5	дожди; дождь; осадки; дождевая вода
预备	yùbèi	V	5	готовить; подготавливать; собираться
原有	yuányǒu		5	ранее имевшийся, издавна существующий
远处	yuǎnchù	N	5	отдалённое место, даль, далёкое
怨	yuàn	V	5	обижаться; винить; жаловаться
愿	yuàn	V	5	желать; хотеть; желание
月饼	yuèbing	N	5	юэбин, лунный пряник
月球	yuèqiú	N	5	Луна
阅览室	yuèlǎnshì	N	5	читальный зал, читальня
运	yùn	V	5	перевозить; удача, судьба; движение
灾	zāi	N	5	бедствие; несчастье
灾区	zāiqū	N	5	район бедствия, пострадавший район
再次	zàicì	Adv	5	повторно, ещё раз, снова, вторично, опять же
再也	zàiyě		5	больше (не); никогда больше
在场	zàichǎng	V	5	присутствовать; присутствие
在内	zàinèi	V	5	включая; в том числе
暂停	zàntíng	V	5	приостановить, остановиться; пауза
糟	zāo	Adj	5	плохо; скверный; испортить
早期	zǎoqī	N	5	ранний период, начало; ранний
增	zēng	V	5	увеличивать, прибавлять, добавлять
增产	zēngchǎn		5	увеличивать выпуск продукции
增大	zēngdà	V	5	увеличивать, расширять; прибавлять
增多	zēngduō	V	5	умножать, увеличивать; усиливать
增强	zēngqiáng	V	5	укреплять, усиливать, укрепляться
赠	zèng	V	5	дарить, преподносить; одаривать
涨价	zhǎngjià		5	дорожать
招生	zhāoshēng		5	набирать учащихся
招手	zhāoshǒu		5	помахать кому-либо рукой
真诚	zhēnchéng	Adj	5	искренний; непритворный; честный
正版	zhèngbǎn	N	5	официальный, лицензионный
正如	zhèngrú	V	5	именно так, как будто, будто
挣	zhèng	V	5	зарабатывать (деньги); вырываться
之内	zhīnèi	N	5	в, внутри, в рамках, в пределах
之外	zhīwài	N	5	кроме; помимо того за исключением
之下	zhīxià	N	5	под; ниже; в условиях
之中	zhīzhōng	N	5	среди; в середине; в течение, во время
直线	zhíxiàn	N/Adj	5	прямая линия; линейный; прямолинейный
